miles_driven,total_consumed_kWh,capacity_loss_kWh,efficiency,remaining_capacity_kWh,cycle_count
100,25.0,0.378,0.9817,75.12,0.35
100,25.0,0.382,0.9791,76.05,0.36
100,25.0,0.377,0.9903,74.97,0.36
100,25.0,0.38,0.9764,75.67,0.46
100,25.0,0.373,0.9878,74.26,0.45
100,25.0,0.368,0.9899,73.32,0.32
100,25.0,0.381,0.977,75.72,0.49
100,25.0,0.371,0.9852,73.91,0.48
100,25.0,0.381,0.9903,75.83,0.49
100,25.0,0.372,0.9888,73.97,0.46
100,25.0,0.369,0.9753,73.38,0.44
100,25.0,0.379,0.9788,75.5,0.31
100,25.0,0.378,0.9868,75.3,0.32
100,25.0,0.372,0.9867,74.03,0.46
100,25.0,0.372,0.9866,73.97,0.34
100,25.0,0.374,0.9861,74.4,0.39
100,25.0,0.382,0.9786,76.07,0.44
100,25.0,0.372,0.9835,73.93,0.35
100,25.0,0.369,0.9903,73.43,0.31
100,25.0,0.38,0.9751,75.64,0.48
